Date,Rainfall_Settefrati,Temperature_Settefrati,Flow_Rate_Madonna_di_Canneto,month_sin,month_cos
01/01/2000,,2.155866121673525,,0.49999999999999994,0.8660254037844387
02/01/2000,,3.3885242730057836,,0.8660254037844386,0.5000000000000001
03/01/2000,,3.7441432106494927,,1.0,6.123233995736766e-17
04/01/2000,,5.663596496651479,,0.8660254037844387,-0.4999999999999998
05/01/2000,,5.90026768598614,,0.49999999999999994,-0.8660254037844387
06/01/2000,,5.7034275365380696,,1.2246467991473532e-16,-1.0
07/01/2000,,6.294380019239863,,-0.4999999999999997,-0.8660254037844388
08/01/2000,,6.0748437822759715,,-0.8660254037844385,-0.5000000000000004
09/01/2000,,7.372133881024286,,-1.0,-1.8369701987210297e-16
10/01/2000,,6.077350187326281,,-0.8660254037844386,0.5000000000000001
11/01/2000,,2.263685798302584,,-0.5000000000000004,0.8660254037844384
12/01/2000,,5.3024142126537805,,-2.4492935982947064e-16,1.0
13/01/2000,,4.542318211049414,,0.49999999999999994,0.8660254037844387
14/01/2000,,5.281190103866188,,0.49999999999999994,0.8660254037844387
15/01/2000,,5.466235351697648,,0.49999999999999994,0.8660254037844387
16/01/2000,,4.519213249013854,,0.49999999999999994,0.8660254037844387
17/01/2000,,3.3063240221761068,,0.49999999999999994,0.8660254037844387
18/01/2000,,7.888888862130656,,0.49999999999999994,0.8660254037844387
19/01/2000,,4.678951482004066,,0.49999999999999994,0.8660254037844387
20/01/2000,,4.114866495674838,,0.49999999999999994,0.8660254037844387
21/01/2000,,6.074226429281143,,0.49999999999999994,0.8660254037844387
22/01/2000,,4.4485417558043,,0.49999999999999994,0.8660254037844387
23/01/2000,,2.2873084222360185,,0.49999999999999994,0.8660254037844387
24/01/2000,,1.1969185271259333,,0.49999999999999994,0.8660254037844387
25/01/2000,,0.5256396586799982,,0.49999999999999994,0.8660254037844387
26/01/2000,,0.5256396586799982,,0.49999999999999994,0.8660254037844387
27/01/2000,,2.9298634194017117,,0.49999999999999994,0.8660254037844387
28/01/2000,,3.7454201161590865,,0.49999999999999994,0.8660254037844387
29/01/2000,,6.141599110210616,,0.49999999999999994,0.8660254037844387
30/01/2000,,6.13984657792848,,0.49999999999999994,0.8660254037844387
31/01/2000,,6.222916241588396,,0.49999999999999994,0.8660254037844387
01/02/2000,,7.922219710364797,,0.49999999999999994,0.8660254037844387
02/02/2000,,7.612995115276605,,0.8660254037844386,0.5000000000000001
03/02/2000,,7.814025295389615,,1.0,6.123233995736766e-17
04/02/2000,,5.96166269325885,,0.8660254037844387,-0.4999999999999998
05/02/2000,,5.901523273703185,,0.49999999999999994,-0.8660254037844387
06/02/2000,,6.717615971682727,,1.2246467991473532e-16,-1.0
07/02/2000,,6.380897213929634,,-0.4999999999999997,-0.8660254037844388
08/02/2000,,7.7550845683850556,,-0.8660254037844385,-0.5000000000000004
09/02/2000,,6.913128408914025,,-1.0,-1.8369701987210297e-16
10/02/2000,,4.529169792579329,,-0.8660254037844386,0.5000000000000001
11/02/2000,,4.737938616713057,,-0.5000000000000004,0.8660254037844384
12/02/2000,,6.203211050287728,,-2.4492935982947064e-16,1.0
13/02/2000,,6.695224397246074,,0.8660254037844386,0.5000000000000001
14/02/2000,,7.951497213139857,,0.8660254037844386,0.5000000000000001
15/02/2000,,6.459732660921835,,0.8660254037844386,0.5000000000000001
16/02/2000,,8.133889242924722,,0.8660254037844386,0.5000000000000001
17/02/2000,,3.6307219935106545,,0.8660254037844386,0.5000000000000001
18/02/2000,,4.793389798671166,,0.8660254037844386,0.5000000000000001
19/02/2000,,6.62214978968189,,0.8660254037844386,0.5000000000000001
20/02/2000,,6.936533090679917,,0.8660254037844386,0.5000000000000001
21/02/2000,,4.988025523604752,,0.8660254037844386,0.5000000000000001
22/02/2000,,5.377583990189753,,0.8660254037844386,0.5000000000000001
23/02/2000,,4.870782225618201,,0.8660254037844386,0.5000000000000001
24/02/2000,,6.339298658881952,,0.8660254037844386,0.5000000000000001
25/02/2000,,5.925847489979598,,0.8660254037844386,0.5000000000000001
26/02/2000,,7.745403509079559,,0.8660254037844386,0.5000000000000001
27/02/2000,,8.410601830603694,,0.8660254037844386,0.5000000000000001
28/02/2000,,8.11361355376908,,0.8660254037844386,0.5000000000000001
29/02/2000,,6.7526437174236476,,0.8660254037844386,0.5000000000000001
01/03/2000,,6.7584413744534215,,0.49999999999999994,0.8660254037844387
02/03/2000,,5.493042049740291,,0.8660254037844386,0.5000000000000001
03/03/2000,,5.706161561708295,,1.0,6.123233995736766e-17
04/03/2000,,7.819744015372275,,0.8660254037844387,-0.4999999999999998
05/03/2000,,5.786844930825138,,0.49999999999999994,-0.8660254037844387
06/03/2000,,7.049874947952704,,1.2246467991473532e-16,-1.0
07/03/2000,,6.416698147824311,,-0.4999999999999997,-0.8660254037844388
08/03/2000,,8.987479709162185,,-0.8660254037844385,-0.5000000000000004
09/03/2000,,8.973981540403154,,-1.0,-1.8369701987210297e-16
10/03/2000,,8.7143078431508,,-0.8660254037844386,0.5000000000000001
11/03/2000,,9.194115888122315,,-0.5000000000000004,0.8660254037844384
12/03/2000,,11.116717423817953,,-2.4492935982947064e-16,1.0
13/03/2000,,10.061712849303245,,1.0,6.123233995736766e-17
14/03/2000,,9.589055177168845,,1.0,6.123233995736766e-17
15/03/2000,,8.669497082916497,,1.0,6.123233995736766e-17
16/03/2000,,7.9972435109760225,,1.0,6.123233995736766e-17
17/03/2000,,8.626508207166921,,1.0,6.123233995736766e-17
18/03/2000,,8.806547498647797,,1.0,6.123233995736766e-17
19/03/2000,,8.195389761467325,,1.0,6.123233995736766e-17
20/03/2000,,4.826588699940551,,1.0,6.123233995736766e-17
21/03/2000,,6.179692437579806,,1.0,6.123233995736766e-17
22/03/2000,,10.260551927492257,,1.0,6.123233995736766e-17
23/03/2000,,9.994872809383992,,1.0,6.123233995736766e-17
24/03/2000,,8.716577937924214,,1.0,6.123233995736766e-17
25/03/2000,,9.503510945808593,,1.0,6.123233995736766e-17
26/03/2000,,10.236359726426954,,1.0,6.123233995736766e-17
27/03/2000,,7.547050963663153,,1.0,6.123233995736766e-17
28/03/2000,,7.917986826887367,,1.0,6.123233995736766e-17
29/03/2000,,7.088015326149493,,1.0,6.123233995736766e-17
30/03/2000,,7.363140002345633,,1.0,6.123233995736766e-17
31/03/2000,,8.86412105805238,,1.0,6.123233995736766e-17
01/04/2000,,6.39713842056322,,0.49999999999999994,0.8660254037844387
02/04/2000,,8.379101147861084,,0.8660254037844386,0.5000000000000001
03/04/2000,,12.068119807361882,,1.0,6.123233995736766e-17
04/04/2000,,8.920357569732824,,0.8660254037844387,-0.4999999999999998
05/04/2000,,10.500902313683353,,0.49999999999999994,-0.8660254037844387
06/04/2000,,9.612276650193044,,1.2246467991473532e-16,-1.0
07/04/2000,,8.32908509119177,,-0.4999999999999997,-0.8660254037844388
08/04/2000,,11.460559721295745,,-0.8660254037844385,-0.5000000000000004
09/04/2000,,8.450452812344217,,-1.0,-1.8369701987210297e-16
10/04/2000,,9.137698925481175,,-0.8660254037844386,0.5000000000000001
11/04/2000,,9.019342914120632,,-0.5000000000000004,0.8660254037844384
12/04/2000,,10.427065941895817,,-2.4492935982947064e-16,1.0
13/04/2000,,10.683438989933693,,0.8660254037844387,-0.4999999999999998
14/04/2000,,12.675764716281911,,0.8660254037844387,-0.4999999999999998
15/04/2000,,12.166821875912685,,0.8660254037844387,-0.4999999999999998
16/04/2000,,10.892255461667128,,0.8660254037844387,-0.4999999999999998
17/04/2000,,13.254683186651608,,0.8660254037844387,-0.4999999999999998
18/04/2000,,10.114663690937737,,0.8660254037844387,-0.4999999999999998
19/04/2000,,10.245124380210921,,0.8660254037844387,-0.4999999999999998
20/04/2000,,15.001304949841584,,0.8660254037844387,-0.4999999999999998
21/04/2000,,16.788427299773005,,0.8660254037844387,-0.4999999999999998
22/04/2000,,18.20133796856979,,0.8660254037844387,-0.4999999999999998
23/04/2000,,17.212778732376623,,0.8660254037844387,-0.4999999999999998
24/04/2000,,9.89866234719567,,0.8660254037844387,-0.4999999999999998
