Date,Rainfall_Castel_del_Piano,Rainfall_Abbadia_S_Salvatore,Rainfall_S_Fiora,Rainfall_Laghetto_Verde,Rainfall_Vetta_Amiata,Depth_to_Groundwater_S_Fiora_8,Depth_to_Groundwater_S_Fiora_11bis,Depth_to_Groundwater_David_Lazzaretti,Temperature_Abbadia_S_Salvatore,Temperature_S_Fiora,Temperature_Laghetto_Verde,Flow_Rate_Bugnano,Flow_Rate_Arbure,Flow_Rate_Ermicciolo,Flow_Rate_Galleria_Alta,month_sin,month_cos
01/01/2000,,,,,,,,,0.6284216421220932,-0.15,0.4809054106631533,,,,,0.49999999999999994,0.8660254037844387
02/01/2000,,,,,,,,,1.6912334870879877,1.55,1.569225092688844,,,,,0.8660254037844386,0.5000000000000001
03/01/2000,,,,,,,,,3.72637183996375,2.7,2.9539086392342435,,,,,1.0,6.123233995736766e-17
04/01/2000,,,,,,,,,5.355012050679542,4.0,4.226814415881418,,,,,0.8660254037844387,-0.4999999999999998
05/01/2000,,,,,,,,,5.531401192878892,4.6,4.744777669887991,,,,,0.49999999999999994,-0.8660254037844387
06/01/2000,,,,,,,,,5.580650224476047,4.3,4.495872035088498,,,,,1.2246467991473532e-16,-1.0
07/01/2000,,,,,,,,,5.039419592660841,3.85,3.910944452782501,,,,,-0.4999999999999997,-0.8660254037844388
08/01/2000,,,,,,,,,5.5221264122318585,4.3,4.454621122984226,,,,,-0.8660254037844385,-0.5000000000000004
09/01/2000,,,,,,,,,5.611170640943471,5.15,4.752341572894999,,,,,-1.0,-1.8369701987210297e-16
10/01/2000,,,,,,,,,5.373087442581384,4.45,4.42220801135844,,,,,-0.8660254037844386,0.5000000000000001
11/01/2000,,,,,,,,,1.601537932292177,1.0,1.232906007617129,,,,,-0.5000000000000004,0.8660254037844384
12/01/2000,,,,,,,,,4.7542902762288115,3.55,3.7276052829927693,,,,,-2.4492935982947064e-16,1.0
13/01/2000,,,,,,,,,2.1340352811221894,2.55,2.086216218159109,,,,,0.49999999999999994,0.8660254037844387
14/01/2000,,,,,,,,,5.210687549719563,3.9,3.9769127363469066,,,,,0.49999999999999994,0.8660254037844387
15/01/2000,,,,,,,,,5.450375497319042,4.8,4.444661816505803,,,,,0.49999999999999994,0.8660254037844387
16/01/2000,,,,,,,,,2.4031979796723415,2.65,2.128773961392966,,,,,0.49999999999999994,0.8660254037844387
17/01/2000,,,,,,,,,0.5712202742629505,0.95,0.24834523774632647,,,,,0.49999999999999994,0.8660254037844387
18/01/2000,,,,,,,,,6.641993438727265,6.55,5.952728311869538,,,,,0.49999999999999994,0.8660254037844387
19/01/2000,,,,,,,,,2.391453789999767,2.35,1.95991529935742,,,,,0.49999999999999994,0.8660254037844387
20/01/2000,,,,,,,,,1.7419275664485898,2.15,1.7606887086002143,,,,,0.49999999999999994,0.8660254037844387
21/01/2000,,,,,,,,,5.088377094651365,4.35,4.220268699038487,,,,,0.49999999999999994,0.8660254037844387
22/01/2000,,,,,,,,,3.7151579380301363,2.8,2.6425590673020127,,,,,0.49999999999999994,0.8660254037844387
23/01/2000,,,,,,,,,0.6480404627381317,-0.15,0.4724466750140118,,,,,0.49999999999999994,0.8660254037844387
24/01/2000,,,,,,,,,-0.23233421141470575,-2.35,-0.8974185976131042,,,,,0.49999999999999994,0.8660254037844387
25/01/2000,,,,,,,,,-2.698837295132176,-4.65,-1.3933383080600201,,,,,0.49999999999999994,0.8660254037844387
26/01/2000,,,,,,,,,-2.6834310842049787,-3.6,-1.3933383080600201,,,,,0.49999999999999994,0.8660254037844387
